"Year","LeagueApps","LeagueGoals","CupApps","CupGoals","EuropeApps","EuropeGoals","OtherApps","OtherGoals","TotalApps","TotalGoals"
"2002–03",27,3,3,2,3,0,0,0,33,5
"2003–04",29,4,6,2,5,0,0,0,40,6
"2004–05",33,5,9,4,8,0,0,0,50,9
"2005–06",33,9,6,2,8,1,0,0,47,12
"2006–07",34,17,8,3,11,3,0,0,53,23
"2007–08",34,31,3,3,11,8,1,0,49,42
"2008–09",33,18,6,3,12,4,2,1,53,26
"2009–10",29,26,0,0,6,7,0,0,35,33
"2010–11",34,41,8,7,12,6,0,0,54,53
"2011–12",38,46,5,3,10,10,2,1,55,60
"2012–13",34,34,7,7,12,12,2,2,55,55
"2013–14",30,31,6,3,11,17,0,0,47,51
"2014–15",35,48,2,1,12,10,5,2,54,61
"2015–16",36,35,0,0,12,16,0,0,48,51
"2016–17",29,25,2,1,13,12,2,4,46,42
"2017–18",11,4,0,0,6,9,3,3,20,16
